step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
297,PAYMENT,13055.28,C508385511,0.0,0.0,M956027336,0.0,0.0,0,0
12,PAYMENT,616.88,C1013341637,107243.5,106626.62,M1942028884,0.0,0.0,0,0
236,CASH_OUT,107759.5,C1408936980,0.0,0.0,C1403087041,1507711.83,1615471.33,0,0
253,CASH_IN,18868.29,C1363041822,21137221.01,21156089.3,C1761313958,34831.61,15963.32,0,0
13,PAYMENT,4986.63,C1359889730,0.0,0.0,M1124177815,0.0,0.0,0,0
36,PAYMENT,17692.64,C1270549119,10268.0,0.0,M743266449,0.0,0.0,0,0
403,PAYMENT,7457.89,C2051931889,0.0,0.0,M2079068430,0.0,0.0,0,0
300,DEBIT,2262.52,C841098437,49271.0,47008.48,C1097907228,124780.0,127042.52,0,0
564,CASH_IN,67418.91,C1484852473,52181.0,119599.91,C170358894,1659195.46,1591776.55,0,0
254,PAYMENT,9414.76,C2023654274,5839.9,0.0,M210283336,0.0,0.0,0,0
206,PAYMENT,17485.51,C928494081,9339.0,0.0,M981647331,0.0,0.0,0,0
186,CASH_IN,43115.41,C427005441,8316334.88,8359450.29,C106303416,2694031.18,2650915.76,0,0
188,PAYMENT,1408.77,C1359417325,99765.0,98356.23,M369555754,0.0,0.0,0,0
181,CASH_OUT,251225.77,C2074796244,41290.0,0.0,C685696333,5124625.51,5375851.29,0,0
186,CASH_OUT,329093.01,C1946350945,163894.0,0.0,C1961399086,163766.23,492859.24,0,0
18,CASH_OUT,111900.86,C1239333334,38599.0,0.0,C34949923,0.0,111900.86,0,0
356,PAYMENT,11348.41,C1602089084,9611.61,0.0,M1756029493,0.0,0.0,0,0
203,PAYMENT,2249.75,C102483840,49824.0,47574.25,M926772394,0.0,0.0,0,0
178,CASH_OUT,339983.69,C1483999363,150825.86,0.0,C1151286694,1797411.66,2137395.36,0,0
11,PAYMENT,22006.91,C1477296233,187492.15,165485.24,M1819638608,0.0,0.0,0,0
255,PAYMENT,16964.15,C648700740,21330.0,4365.85,M157710685,0.0,0.0,0,0
35,TRANSFER,125132.6,C1616958476,292194.0,167061.4,C2085899258,0.0,125132.6,0,0
542,CASH_OUT,20450.59,C1514420564,0.0,0.0,C792102955,739119.08,759569.67,0,0
35,CASH_IN,124651.74,C1794179829,20960.0,145611.74,C99867722,467335.09,342683.35,0,0
240,PAYMENT,7443.29,C1655583311,311.0,0.0,M976098062,0.0,0.0,0,0
35,PAYMENT,18520.37,C1346718641,37618.39,19098.02,M1530543057,0.0,0.0,0,0
325,CASH_OUT,240938.14,C1159198332,0.0,0.0,C1643218906,677911.3,918849.44,0,0
8,PAYMENT,5000.93,C804921125,0.0,0.0,M1348049534,0.0,0.0,0,0
403,PAYMENT,1375.93,C805028279,39672.19,38296.26,M118328816,0.0,0.0,0,0
142,PAYMENT,9387.6,C1478451246,101296.39,91908.79,M1595492079,0.0,0.0,0,0
203,CASH_OUT,304736.65,C1150179328,50526.0,0.0,C1689033792,46995.26,351731.91,0,0
284,CASH_IN,154063.93,C605074781,7054719.28,7208783.21,C1782776914,388415.07,234351.14,0,0
13,CASH_IN,413032.46,C776744634,3756.0,416788.46,C102218247,114764.69,0.0,0,0
189,CASH_OUT,290132.99,C42598404,0.0,0.0,C261821285,1772735.07,2062868.06,0,0
328,TRANSFER,1086782.27,C1260349918,0.0,0.0,C897735701,4334991.17,5421773.44,0,0
187,CASH_OUT,258677.34,C2018348964,0.0,0.0,C174532841,268608.27,527285.61,0,0
335,PAYMENT,680.96,C340149850,244624.0,243943.04,M906983781,0.0,0.0,0,0
276,CASH_IN,142803.7,C1039276660,3979275.72,4122079.42,C1990457749,314787.24,171983.54,0,0
228,CASH_OUT,404013.26,C942807624,0.0,0.0,C1478898162,2168976.25,2572989.5,0,0
190,PAYMENT,4192.45,C2121240346,141582.75,137390.3,M300922993,0.0,0.0,0,0
38,PAYMENT,6865.83,C1560448195,16065.0,9199.17,M702530586,0.0,0.0,0,0
154,CASH_OUT,199096.88,C854642819,0.0,0.0,C1875697706,403366.37,602463.25,0,0
183,CASH_IN,40105.0,C459252785,44462.0,84567.0,C903132886,888624.22,848519.22,0,0
404,PAYMENT,29753.14,C1309130238,99613.0,69859.86,M1003264751,0.0,0.0,0,0
37,CASH_OUT,37005.75,C849509788,0.0,0.0,C41102216,145970.25,182976.01,0,0
211,TRANSFER,658510.65,C683799433,0.0,0.0,C1489116061,4160208.26,4818718.91,0,0
357,PAYMENT,14962.54,C352220876,99053.0,84090.46,M400743766,0.0,0.0,0,0
205,CASH_IN,115930.12,C887004112,2700081.42,2816011.53,C1676533255,2082239.58,1966309.46,0,0
287,CASH_OUT,205453.92,C763671499,0.0,0.0,C1891518808,1924157.61,2129611.54,0,0
163,PAYMENT,8548.76,C211960157,21358.0,12809.24,M1530234511,0.0,0.0,0,0
514,TRANSFER,1958230.6,C2126397003,69563.0,0.0,C1724208100,5345774.9,7304005.5,0,0
231,CASH_OUT,168377.94,C1935487738,0.0,0.0,C700950869,1238581.58,1406959.51,0,0
250,CASH_IN,142011.88,C1471956423,253857.0,395868.88,C651806736,520248.21,378236.33,0,0
297,PAYMENT,7803.55,C20748083,0.0,0.0,M1298362179,0.0,0.0,0,0
378,CASH_IN,261090.52,C315492035,1906884.05,2167974.57,C145807878,4584136.21,4323045.69,0,0
208,CASH_OUT,185642.4,C1191854830,43444.0,0.0,C1394009782,0.0,185642.4,0,0
349,PAYMENT,22673.48,C509952728,21910.0,0.0,M1882783306,0.0,0.0,0,0
252,CASH_OUT,318180.66,C1181005058,400960.77,82780.11,C1996805903,438344.43,762954.86,0,0
161,PAYMENT,1416.71,C1260935439,188315.86,186899.15,M1471767414,0.0,0.0,0,0
202,PAYMENT,8941.05,C773163139,160.0,0.0,M1610300123,0.0,0.0,0,0
354,CASH_OUT,103884.78,C781839635,9974.0,0.0,C1109678983,604986.43,708871.21,0,0
163,PAYMENT,1412.48,C1798880828,10052.0,8639.52,M716959429,0.0,0.0,0,0
236,CASH_IN,93940.35,C1800243188,29505.0,123445.35,C1957675734,0.0,0.0,0,0
333,PAYMENT,15039.71,C1613457151,0.0,0.0,M227579288,0.0,0.0,0,0
380,PAYMENT,10424.44,C280147801,20809.0,10384.56,M1295606785,0.0,0.0,0,0
232,CASH_IN,33530.31,C1535780730,4343409.73,4376940.04,C262891082,80997.34,47467.03,0,0
405,PAYMENT,7328.72,C871652084,0.0,0.0,M888843538,0.0,0.0,0,0
571,CASH_IN,18593.97,C1448380450,5004065.66,5022659.62,C1886475823,61037.91,42443.94,0,0
139,CASH_IN,111540.89,C1298433128,533807.17,645348.07,C353782565,1998273.93,1886733.04,0,0
326,PAYMENT,16769.79,C1946777947,15952.0,0.0,M1230436756,0.0,0.0,0,0
18,PAYMENT,7858.1,C1844580132,20773.0,12914.9,M563268470,0.0,0.0,0,0
300,TRANSFER,292037.17,C1065363833,0.0,0.0,C1515536749,953736.46,1245773.64,0,0
257,TRANSFER,63982.69,C303128054,0.0,0.0,C822214416,95692.27,159674.96,0,0
353,CASH_IN,153216.34,C710925990,7920054.5,8073270.84,C472295300,474744.05,113510.5,0,0
155,PAYMENT,3170.83,C548608193,49631.0,46460.17,M1953778756,0.0,0.0,0,0
20,CASH_OUT,107313.94,C1568656506,0.0,0.0,C1073161843,1813650.37,2791624.38,0,0
202,CASH_OUT,134328.08,C1626747046,0.0,0.0,C410567421,1137825.22,1272153.31,0,0
12,PAYMENT,10446.68,C1482458700,0.0,0.0,M1177905091,0.0,0.0,0,0
323,CASH_OUT,214059.76,C1169387535,61891.0,0.0,C1384939011,0.0,214059.76,0,0
305,CASH_IN,313733.83,C1507005727,10603.0,324336.83,C892045919,0.0,0.0,0,0
348,CASH_IN,22200.81,C271216403,1608898.38,1631099.19,C1737895165,235527.08,213326.27,0,0
12,CASH_OUT,178217.38,C1944531859,0.0,0.0,C1786396642,4501961.18,4251161.93,0,0
229,CASH_OUT,220486.58,C443256575,0.0,0.0,C179208025,2269179.58,2489666.16,0,0
396,TRANSFER,875213.55,C1367522019,0.0,0.0,C136356616,4309830.28,5185043.84,0,0
11,PAYMENT,14459.22,C897923211,39948.0,25488.78,M961418448,0.0,0.0,0,0
236,CASH_OUT,121422.39,C1310500423,0.0,0.0,C907487997,1626826.73,1748249.12,0,0
154,CASH_OUT,39590.21,C354902759,0.0,0.0,C2073353441,318883.91,358474.12,0,0
301,CASH_OUT,273339.15,C2131394246,339571.0,66231.85,C1264872013,696280.86,969620.01,0,0
7,CASH_OUT,77253.21,C249200083,1091.15,0.0,C271588719,471444.0,336403.65,0,0
10,CASH_OUT,74190.1,C1860449608,249729.76,175539.66,C237467600,318930.32,21980.31,0,0
253,CASH_OUT,231641.71,C2069695524,0.0,0.0,C980072701,1833515.56,2065157.27,0,0
191,CASH_IN,35269.59,C72679323,1377518.85,1412788.44,C2058567676,610488.88,575219.29,0,0
207,CASH_OUT,95024.86,C302440786,0.0,0.0,C57541900,186797.47,281822.33,0,0
302,CASH_OUT,386023.54,C1786701224,0.0,0.0,C27127579,389015.34,775038.88,0,0
212,CASH_IN,116135.75,C109549101,204673.0,320808.75,C463376666,0.0,0.0,0,0
328,CASH_OUT,212884.77,C69372757,0.0,0.0,C1335226346,2277569.78,2490454.55,0,0
137,CASH_IN,305973.1,C1905061351,392034.0,698007.1,C1895269207,0.0,0.0,0,0
94,CASH_IN,162920.46,C283168237,8643332.42,8806252.88,C1880058411,7520724.02,7357803.55,0,0
374,CASH_OUT,255955.77,C1730214975,2002.0,0.0,C1665448501,0.0,255955.77,0,0
250,PAYMENT,4987.09,C105766657,299610.0,294622.91,M1313111844,0.0,0.0,0,0
42,CASH_OUT,107141.17,C510409191,12453.0,0.0,C1117382784,259702.29,515055.45,0,0
155,CASH_OUT,45301.79,C1536968899,0.0,0.0,C2146730126,1278399.51,1323701.3,0,0
234,TRANSFER,115712.36,C710617656,0.0,0.0,C280794150,1098693.52,1214405.88,0,0
656,PAYMENT,5220.64,C2054628112,2062.0,0.0,M1449664957,0.0,0.0,0,0
374,CASH_IN,91206.28,C542975894,109671.0,200877.28,C1383678621,41086.89,0.0,0,0
299,PAYMENT,20936.47,C1553137068,7182.0,0.0,M1309446387,0.0,0.0,0,0
182,CASH_OUT,173655.13,C1600086058,159039.0,0.0,C550754064,163853.98,337509.11,0,0
330,CASH_OUT,218540.35,C1357070438,0.0,0.0,C2059762056,8530150.36,8748690.71,0,0
39,CASH_OUT,440759.52,C746348142,0.0,0.0,C1908106443,933334.67,1374094.19,0,0
249,TRANSFER,268912.48,C432147162,0.0,0.0,C71562765,1111399.5,1380311.99,0,0
191,PAYMENT,245.4,C640064078,0.0,0.0,M848116774,0.0,0.0,0,0
331,TRANSFER,35206.18,C1780541439,0.0,0.0,C352607904,142763.66,177969.84,0,0
136,PAYMENT,13382.29,C756435736,0.0,0.0,M2113537778,0.0,0.0,0,0
252,CASH_IN,4859.63,C291493936,4106822.89,4111682.52,C2002792683,251879.35,247019.72,0,0
41,TRANSFER,518339.83,C559078087,0.0,0.0,C1728460906,7554201.05,8072540.88,0,0
39,TRANSFER,451310.12,C604541326,54987.0,0.0,C2146875526,974842.68,1797288.53,0,0
346,CASH_IN,161121.07,C290022912,1888481.45,2049602.52,C381600260,412090.16,250969.1,0,0
644,CASH_OUT,49364.07,C877593625,41623.0,0.0,C1575083932,158009.13,207373.19,0,0
374,CASH_IN,92119.49,C1815651807,3297740.33,3389859.82,C158242145,1950696.11,1858576.62,0,0
355,CASH_IN,282508.76,C1448400865,23379.0,305887.76,C814784749,66891.81,0.0,0,0
236,TRANSFER,813462.62,C40905611,153223.0,0.0,C453039491,67479.59,880942.21,0,0
307,CASH_OUT,53797.94,C522950250,113452.0,59654.06,C968695097,309554.38,363352.32,0,0
225,PAYMENT,82797.84,C1411102270,31931.0,0.0,M8961529,0.0,0.0,0,0
40,CASH_OUT,529508.88,C1821641108,8049.0,0.0,C94238070,0.0,529508.88,0,0
303,PAYMENT,13763.87,C1532316610,0.0,0.0,M1131873222,0.0,0.0,0,0
350,PAYMENT,13176.51,C558630256,0.0,0.0,M1646382835,0.0,0.0,0,0
335,PAYMENT,58760.91,C805432013,480859.24,422098.33,M703071544,0.0,0.0,0,0
322,DEBIT,1096.42,C362865724,11227.0,10130.58,C533887341,1013259.91,1014356.33,0,0
232,CASH_OUT,42843.05,C1013384637,0.0,0.0,C615345603,3758226.36,3801069.41,0,0
227,CASH_IN,74833.8,C1086764372,1392489.11,1467322.91,C97617767,158074.64,83240.85,0,0
301,CASH_IN,206764.77,C1692768606,1767.0,208531.77,C1122394266,774962.57,568197.8,0,0
399,CASH_OUT,164032.21,C1227984431,227653.0,63620.79,C743500120,0.0,164032.21,0,0
590,PAYMENT,9296.83,C820447403,0.0,0.0,M184735125,0.0,0.0,0,0
255,CASH_OUT,235731.9,C789074715,14954.0,0.0,C1881669628,2981264.46,3216996.36,0,0
187,CASH_OUT,142259.85,C1064603430,22861.0,0.0,C1727221386,211427.16,353687.02,0,0
356,PAYMENT,8164.01,C1405528965,0.0,0.0,M1933926398,0.0,0.0,0,0
348,CASH_IN,95263.11,C33175299,7356221.51,7451484.62,C1373973293,143134.82,47871.71,0,0
300,CASH_IN,249585.52,C467717543,12086210.8,12335796.32,C726198580,468270.14,218684.62,0,0
177,CASH_IN,396792.55,C1675746664,793.0,397585.55,C256865139,0.0,0.0,0,0
201,PAYMENT,15068.73,C1830375097,0.0,0.0,M1991416,0.0,0.0,0,0
184,CASH_OUT,440773.08,C1461159159,0.0,0.0,C327341526,1138196.74,1578969.82,0,0
155,PAYMENT,14298.25,C1982775599,0.0,0.0,M1309930156,0.0,0.0,0,0
185,CASH_IN,78108.5,C1292711577,16856365.12,16934473.62,C265777076,238095.59,159987.08,0,0
249,PAYMENT,12596.61,C1963550118,0.0,0.0,M1695671000,0.0,0.0,0,0
177,CASH_IN,31141.94,C1259952556,1362949.88,1394091.82,C974768731,1669373.11,1638231.17,0,0
373,PAYMENT,1251.94,C2146933874,0.0,0.0,M1527627185,0.0,0.0,0,0
382,PAYMENT,1068.21,C1480105448,4006.95,2938.74,M1374852383,0.0,0.0,0,0
95,CASH_IN,455834.18,C1503346721,563701.88,1019536.06,C1121802556,2838201.48,2382367.3,0,0
132,PAYMENT,14511.02,C236635667,0.0,0.0,M698251819,0.0,0.0,0,0
322,CASH_OUT,28591.42,C409741973,0.0,0.0,C1904483493,1211089.44,1239680.86,0,0
19,CASH_IN,193890.52,C391871944,26921.0,220811.52,C2136570309,232872.2,38981.68,0,0
129,CASH_OUT,129041.74,C244341744,265.0,0.0,C1300578648,0.0,129041.74,0,0
132,CASH_OUT,215925.55,C1450168978,0.0,0.0,C922807181,411942.41,627867.96,0,0
183,CASH_OUT,136964.13,C1452534624,0.0,0.0,C1755130739,3926844.12,4063808.26,0,0
44,PAYMENT,3551.26,C1828136324,843.47,0.0,M1662786733,0.0,0.0,0,0
7,TRANSFER,1331086.47,C1982404838,15432.0,0.0,C1210180003,59949.22,1313362.94,0,0
393,CASH_OUT,244211.66,C322617928,0.0,0.0,C58016175,880497.39,1124709.04,0,0
206,PAYMENT,2901.96,C776180615,56324.0,53422.04,M2030050716,0.0,0.0,0,0
396,CASH_OUT,386669.45,C1916496762,0.0,0.0,C1377074488,699568.7,1488239.23,0,0
157,PAYMENT,24104.54,C16708267,0.0,0.0,M1911445805,0.0,0.0,0,0
204,CASH_IN,265293.29,C1787501728,351.0,265644.29,C850683997,2215022.18,1949728.89,0,0
18,CASH_OUT,619.31,C590272894,965806.14,965186.83,C274824257,0.0,619.31,0,0
306,TRANSFER,875582.25,C1598042404,94595.97,0.0,C1378537795,9622156.32,10497738.57,0,0
330,CASH_OUT,54330.72,C240218607,0.0,0.0,C580319947,176658.69,230989.41,0,0
249,PAYMENT,13344.1,C400990872,7292.0,0.0,M300081380,0.0,0.0,0,0
289,PAYMENT,8579.34,C662980180,20366.0,11786.66,M317737019,0.0,0.0,0,0
46,CASH_OUT,163051.33,C1117122966,15392.0,0.0,C1939378466,2463135.58,2626186.91,0,0
301,CASH_IN,110568.66,C1769987336,2056769.3,2167337.96,C407792911,175630.33,65061.66,0,0
154,PAYMENT,22434.71,C1019120294,10420.14,0.0,M2011269895,0.0,0.0,0,0
10,CASH_OUT,313664.24,C1826659400,0.0,0.0,C193625667,9150645.97,9464310.21,0,0
208,CASH_OUT,125991.42,C571901331,7310.0,0.0,C1698289399,822675.7,950520.3,0,0
349,CASH_OUT,93496.01,C1902615133,0.0,0.0,C538113947,2087164.19,2180660.2,0,0
156,CASH_IN,113147.72,C229481481,3985489.64,4098637.36,C61031593,213116.03,99968.31,0,0
208,TRANSFER,437371.03,C979315962,0.0,0.0,C45958213,564026.21,1001397.24,0,0
18,PAYMENT,7848.71,C1832568799,196040.06,188191.35,M1629378206,0.0,0.0,0,0
253,CASH_IN,296870.15,C1500999280,13201.0,310071.15,C1622552473,118599.44,0.0,0,0
395,CASH_IN,46773.06,C583270541,7600788.34,7647561.4,C545660061,3521517.05,3474744.0,0,0
328,CASH_IN,106799.55,C775199672,876341.87,983141.42,C1234632255,980615.68,873816.13,0,0
278,TRANSFER,327534.3,C1936578603,0.0,0.0,C1514199309,1067390.45,1394924.75,0,0
518,TRANSFER,153990.5,C1619280891,201778.0,47787.5,C1837241611,0.0,153990.5,0,0
42,TRANSFER,935639.61,C1699211236,89771.37,0.0,C1293949664,2037867.29,2973506.9,0,0
258,CASH_OUT,423808.74,C948008517,0.0,0.0,C1939084847,755968.04,1179776.78,0,0
164,PAYMENT,12209.45,C1549828854,16901.0,4691.55,M1435742536,0.0,0.0,0,0
353,CASH_IN,220141.98,C1484287258,10089.0,230230.98,C1891826460,1352478.87,1132336.88,0,0
34,CASH_IN,320395.22,C1219933393,1158528.94,1478924.15,C644421104,405213.09,13592.78,0,0
140,PAYMENT,5222.23,C2036462106,30296.0,25073.77,M2080924806,0.0,0.0,0,0
233,PAYMENT,29279.51,C1877480943,0.0,0.0,M17092044,0.0,0.0,0,0
255,PAYMENT,206.84,C329671918,25968.18,25761.34,M830219798,0.0,0.0,0,0
137,CASH_OUT,71997.46,C1382737049,0.0,0.0,C1905045732,594918.75,666916.22,0,0
15,CASH_OUT,135411.69,C2019927907,0.0,0.0,C1664754826,1182915.15,1318326.84,0,0
210,TRANSFER,68324.55,C1204432983,0.0,0.0,C1440200379,324774.11,393098.67,0,0
129,CASH_IN,29158.25,C98762391,480.0,29638.25,C2074710753,72959.23,43800.99,0,0
154,CASH_IN,297656.83,C872308387,1018457.76,1316114.59,C1631252583,841526.89,543870.06,0,0
275,CASH_OUT,156765.52,C727477811,0.0,0.0,C773052859,383977.55,540743.07,0,0
683,CASH_OUT,93483.23,C1773649560,93483.23,0.0,C2085820540,86882.3,180365.53,1,0
43,CASH_OUT,218440.55,C542988410,52085.0,0.0,C1790242902,0.0,218440.55,0,0
402,PAYMENT,14872.25,C1623560754,276972.22,262099.98,M1625741812,0.0,0.0,0,0
